day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailyTotalRevenueUSD,dailySupplySideRevenueUSD,dailyLPFeeROIAverage,token0BalancePostion,token1BalancePostion,token0PriceUSD,token1PriceUSD,positionValueETH,dailyLPFeeROIPosition
19286,30669687,1666394676,5533.124943109788,0.0,0,0,0.0,0.6900167112844289,0.25117019592381457,0.0,1298.66501,1.0,0.0
19287,30755057,1666437741,5603.02130600256,0.0,0,0,0.0,0.6900167112844289,0.25117019592381457,0.0,1304.46482,1.0,0.0
19289,31244827,1666646660,8178.011657536657,0.0,0,0,0.0,0.6807654632755584,0.2612104695758889,0.0,1347.07762,1.0000743809792816,0.0
19290,31473418,1666723772,8.9722464e-15,0.0,0,0,0.0,0.5882784183960559,0.36164082030039024,0.0,1495.3744,1.0007633522487187,0.0
19303,35514799,1667851697,1.60177083e-14,0.0,0,0,0.0,0.3018622659306053,0.6732942005668804,0.0,1601.77083,1.0022641937748624,0.0
19402,74382342,1676418575,3.209658360261797,0.0,0,0,0.0,0.0,1.0028028662082051,0.0,1556.62012,1.0028028662082051,0.0
19403,74492776,1676469797,3.257576684936368,0.0,0,0,0.0,0.0,1.0028028662082051,0.0,1578.4768,1.0028028662082051,0.0
19404,74792243,1676574376,4.541550967091906,0.0,0,0,0.0,0.0,1.0028028662082051,0.0,1717.15335,1.0028028662082051,0.0
19409,75833787,1677023831,4.381588023311491,0.0,0,0,0.0,0.0,1.0028028662082051,0.0,1656.67161,1.0028028662082051,0.0
19411,76224787,1677154960,4.343231478173691,0.0,0,0,0.0,0.0,1.0028028662082051,0.0,1642.16906,1.0028028662082051,0.0
19413,76989382,1677327768,4.221265808017341,0.0,0,0,0.0,0.0,1.0028028662082051,0.0,1596.05403,1.0028028662082051,0.0
19416,77673526,1677554065,4.498890850461878,0.0,0,0,0.0,0.0,1.0028028662082051,0.0,1632.44916,1.0028028662082051,0.0
19417,77943214,1677668877,5.106079540781398,0.0,0,0,0.0,0.6753398036198536,0.2518741923784707,0.0,1656.19073,1.0028028662082051,0.0
19419,78464452,1677882063,5.339266737928988,0.0,0,0,0.0,0.6753398036198538,0.2518741923784707,0.0,1562.11757,1.0028028662082054,0.0
19421,78720683,1678018916,5.366140232211258,0.0,0,0,0.0,0.5938658633041116,0.3425080539491859,0.0,1569.97999,1.0034381800363426,0.0
19422,78943342,1678139768,5.9359148214723785,0.0,0,0,0.0,0.5938658633041116,0.3425080539491859,0.0,1565.11624,1.0034381800363426,0.0
19423,79039744,1678192058,5.936417235725038,0.0,0,0,0.0,0.5938658633041116,0.3425080539491859,0.0,1565.25092,1.0034381800363426,0.0
