day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailyTotalRevenueUSD,dailySupplySideRevenueUSD,dailyLPFeeROIAverage,token0BalancePostion,token1BalancePostion,token0PriceUSD,token1PriceUSD,positionValueETH,dailyLPFeeROIPosition
19451,41151168,1680650750,15.448702965181354,0.0,0,0,0.0,0.6708309893332116,0.25117019592381257,0.0,1862.6859508332454,0.9999999999999999,0.0
19452,41184800,1680725230,3.692617532996777,0.0,0,0,0.0,0.6708309893332116,0.25117019592381257,0.0,1908.0218838602589,1.0,2.0417667367817446e-06
19453,41214988,1680791594,20.449362213972044,0.0,0,0,0.0,0.6708323590136116,0.2511707087547639,0.0,1867.6230110668776,1.0000020417667366,3.318836364780619e-06
19454,41264879,1680901630,4.779519881304189,0.0,0,0,0.0,0.6708345853964395,0.2511715423492459,0.0,1854.1332027934054,1.0000053606098778,9.700709474903787e-07
19455,41307594,1680996393,1632.2122415620047,0.0,0,0,0.0,0.7068160396240364,0.21101545668920704,0.0,1855.6642251285018,0.9996988416753104,2.4399307774926567e-06
19456,41346640,1681083238,744.7418308437482,6309.347962460394,3.154673981230197057787417404035384,3.154673981230197057787417404035384,0.00423592962094816,0.8418102123548196,0.06050087400352667,0.0,1863.7220988126423,0.9984063604319384,9.487785145058442e-05
19457,41371663,1681138853,269.53738052576466,545.7535365051971,0.272876768252598561596286753853564,0.272876768252598561596286753853564,0.001012389330638741,0.814880929792917,0.09060345918229583,0.0,1858.1853418913818,0.9987779989253216,3.7058074181538866e-07
19458,41423123,1681253674,5470.6689683979175,20928.059820349794,10.46402991017489603263493147839185,10.46402991017489603263493147839185,0.0019127514332564855,0.724879945576763,0.19095895610219246,0.0,1895.5056054612628,0.9996367649489705,0.00010444713325983716
19459,41458863,1681333592,23908.962531987523,52955.04969323016,26.47752484661508037487360229684745,26.47752484661508037487360229684745,0.001107430939807242,0.7069589196359186,0.21105811261276977,0.0,1908.8127541559154,0.9999009267644563,0.00013253620067279955
19460,41496692,1681418570,33102.77283950304,19757.16800699005,9.87858400349502548661772709566262,9.87858400349502548661772709566262,0.0002984216473765141,0.6800573075384623,0.24121265979313697,0.0,2006.8786251399038,1.000265638613719,3.4999873540651314e-05
19461,41527982,1681488976,20687.87296510803,10620.492850439763,5.31024642521988161169329939954728,5.31024642521988161169329939954728,0.00025668402131896756,0.5901228330705847,0.3416791743154429,0.0,2066.7372146991265,1.001009829924206,5.7692511711472047e-05
19462,41562097,1681566366,9.24721836745923e-14,10.362011220879278,0.00518100561043963884921395671395,0.00518100561043963884921395671395,56027719953.83488,0.5811630057326682,0.35174803631849133,0.0,2101.640538058916,1.0011330151200173,1.0347760130690494e-06
19466,41725043,1681945418,59.86119290367938,247.34257150498655,0.12367128575249327349988029189289,0.12367128575249327349988029189289,0.0020659676119633725,0.3923959154698609,0.5628968654031871,0.0,1964.0397804569905,1.002277314280503,4.937010562169305e-08
19467,41765191,1682034887,307.80231056959985,1000.9368109996493,0.50046840549982463877680792676373,0.50046840549982463877680792676373,0.0016259410287521522,0.31155614416050614,0.6534569848101675,0.0,1945.041594272884,1.0026322052270125,3.0353978500563103e-05
19468,41799220,1682109191,703.780067461715,543.7270221700059,0.27186351108500294433900676973562,0.27186351108500294433900676973562,0.00038629043880926916,0.5452091499138723,0.39196198188735165,0.0,1847.240372116688,1.0014162490426535,1.594928358099836e-05
19469,41840997,1682201309,605.3490271465648,883.4218501299645,0.44171092506498221236697462701518,0.44171092506498221236697462701518,0.0007296797471486427,0.44633000689892827,0.5025694034807769,0.0,1877.2717300247148,1.0020421222743956,2.336445134822956e-05
19470,41879801,1682287613,699.3497360259596,419.36779912291627,0.20968389956145813055212989323173,0.20968389956145813055212989323173,0.0002998269517523272,0.401408343332275,0.5528756917610462,0.0,1849.6063839542862,1.002302752007054,4.7307413193340875e-06
19471,41915701,1682371192,964.6002407470379,1981.6804100928912,0.99084020504644561368796152002325,0.99084020504644561368796152002325,0.0010272029418934066,0.38344046540566934,0.572999741576797,0.0,1837.2715210158567,1.0023953718302223,5.929075749994265e-05
19472,41957153,1682462499,518.2183274077146,766.1588929706444,0.38307944648532219748397643833991,0.38307944648532219748397643833991,0.0007392240417308317,0.47333538415733317,0.47244069717433596,0.0,1869.2537752545697,1.0019753381852887,2.1612176387820503e-05
